num,strains,use,withsyn_rec,withsyn_rec1,synnum,syng,syng1,recnum,sptype,sptype1,RFU
49,P5,w0,0,no,0,0,D,0,Rno,D,
1,P6,use1,2,syn_rec,1,4,A4,1,pure,A,625.4364167
2,P9,use1,2,syn_rec,1,5,A5,2,partial,B,2369.233083
3,PSE1,use1,2,syn_rec,1,3,A3,1,pure,A,3972.45775
4,PSE10,use1,2,syn_rec,1,13,B13,6,partial,B,1805.949083
5,PSE11,w0,2,syn_rec,1,14,B14,3,partial,B,
6,PSE12,use1,2,syn_rec,1,11,B11,2,partial,B,1671.630083
50,PSE13,w0,0,no,0,0,D,0,Rno,D,
7,PSE14,use1,2,syn_rec,1,10,B10,11,partial,B,6550.07975
8,PSE2,use1,2,syn_rec,1,7,A7,2,partial,B,2323.483417
9,PSE3,use1,2,syn_rec,1,8,A8,1,pure,A,2901.968083
10,PSE4,w0,2,syn_rec,1,10,B10,11,partial,B,
11,PSE5,use1,2,syn_rec,1,6,A6,2,partial,B,3422.133417
12,PSE6,w0,2,syn_rec,1,9,A9,2,partial,B,
13,PSE7,use1,2,syn_rec,1,9,A9,1,pure,A,3917.938417
14,PSE8,use1,2,syn_rec,1,14,B14,3,partial,B,4435.553417
15,Sid10,use1,2,syn_rec,1,17,B17,3,partial,B,3729.512417
26,sid12,w0,2,syn_rec,1,14,B14,3,partial,B,
46,sid13,use1,1,rec,0,0,D,3,cheater,C,32.33475
52,sid14,w0,0,no,0,0,D,0,Rno,D,
27,sid15,use1,2,syn_rec,1,20,C20,2,partial,B,2112.13875
16,Sid17,use1,2,syn_rec,1,2,A2,3,partial,B,9408.555083
45,Sid19,use1,1,rec,0,0,D,1,cheater,C,-87.14091667
47,sid2,use1,1,rec,0,0,D,4,cheater,C,-25.26725
28,sid20,use1,2,syn_rec,1,18,B18,2,partial,B,3817.054083
29,sid21,w0,2,syn_rec,1,15,B15,2,partial,B,
53,sid22,w0,0,no,0,0,D,0,Rno,D,
30,sid23,w0,2,syn_rec,1,1,A1,2,partial,B,
51,Sid24,w0,0,no,0,0,D,0,Rno,D,
31,sid27,w0,2,syn_rec,1,17,B17,3,partial,B,
17,Sid28,w0,2,syn_rec,1,17,B17,3,partial,B,
32,sid29,use1,2,syn_rec,1,1,A1,2,partial,B,4549.084083
33,sid3,w0,2,syn_rec,1,20,C20,2,partial,B,
18,Sid30,use1,2,syn_rec,1,16,B16,2,partial,B,28477.62442
34,sid31,w0,2,syn_rec,1,15,B15,3,partial,B,
35,sid32,w0,2,syn_rec,1,16,B16,2,partial,B,
36,sid33,use1,2,syn_rec,1,15,B15,2,partial,B,5092.603083
19,Sid36,w0,2,syn_rec,1,17,B17,3,partial,B,
37,sid38,w0,2,syn_rec,1,1,A1,2,partial,B,
20,Sid39,w0,2,syn_rec,1,1,A1,2,partial,B,
54,sid41,w0,0,no,0,0,D,0,Rno,D,
55,sid42,w0,0,no,0,0,D,0,Rno,D,
38,sid44,w0,2,syn_rec,1,20,C20,3,partial,B,
39,sid46,w0,2,syn_rec,1,1,A1,2,partial,B,
40,sid47,use1,2,syn_rec,1,19,B19,3,partial,B,2199.42275
41,sid48,w0,2,syn_rec,1,19,B19,3,partial,B,
42,sid49,w0,2,syn_rec,1,19,B19,3,partial,B,
43,sid50,w0,2,syn_rec,1,1,A1,2,partial,B,
21,Sid52,w0,2,syn_rec,1,20,C20,2,partial,B,
22,Sid54,use1,2,syn_rec,1,12,B12,3,partial,B,545.13775
44,sid6,w0,2,syn_rec,1,15,B15,3,partial,B,
23,Sid62,w0,2,syn_rec,1,2,A2,3,partial,B,
24,Sid63,w0,2,syn_rec,1,20,C20,2,partial,B,
25,Sid64,w0,2,syn_rec,1,17,B17,3,partial,B,
48,sid7,use1,1,rec,0,0,D,3,cheater,C,80.07341667
