Rec_groupid,number,R,G,B,Hex
1,1,0.098039216,0.098039216,0.439215686,#191970
2,2,1,1,0.329411765,#FFFF54
3,320,1,0,0,#FF0000
4,0,,,,
5,0,,,,
6,0,,,,
7,0,,,,
8,0,,,,
9,0,,,,
10,0,,,,
11,0,,,,
12,0,,,,
13,0,,,,
14,0,,,,
15,0,,,,
16,0,,,,
17,0,,,,
18,0,,,,
19,0,,,,
20,0,,,,
21,0,,,,
22,0,,,,
23,0,,,,
24,0,,,,
25,0,,,,
26,0,,,,
27,0,,,,
28,0,,,,
29,0,,,,
30,0,,,,
31,0,,,,
32,0,,,,
33,0,,,,
34,0,,,,
35,288,0,1,1,#00FFFF
36,29,0.866666667,0.62745098,0.866666667,#DDA0DD
37,7,0,0.749019608,1,#00BFFF
38,0,,,,
39,80,0.498039216,0,0.498039216,#7F007F
40,0,,,,
41,0,,,,
42,0,,,,
43,0,,,,
44,0,,,,
45,0,,,,
46,0,,,,
47,0,,,,
48,0,,,,
49,0,,,,
50,0,,,,
51,0,,,,
52,0,,,,
53,0,,,,
54,0,,,,
55,0,,,,
56,0,,,,
57,0,,,,
58,0,,,,
59,0,,,,
60,0,,,,
61,0,,,,
62,0,,,,
63,0,,,,
64,0,,,,
65,0,,,,
66,0,,,,
67,0,,,,
68,1,0.941176471,0.501960784,0.501960784,#F08080
69,0,,,,
70,7,0,0.980392157,0.603921569,#00FA9A
71,0,,,,
72,6,0.254901961,0.411764706,0.882352941,#4169E1
73,0,,,,
74,0,,,,
75,1,0.501960784,0,0,#800000
76,11,0.180392157,0.545098039,0.341176471,#2E8B57
77,0,,,,
78,0,,,,
79,0,,,,
80,3,0.501960784,0.501960784,0,#808000
81,0,,,,
82,0,,,,
83,0,,,,
84,0,,,,
85,0,,,,
86,0,,,,
87,0,,,,
88,0,,,,
89,0,,,,
90,37,0,0,0.803921569,#0000CD
91,135,1,0,1,#FF00FF
92,14,1,0.549019608,0,#FF8C00
93,0,,,,
94,44,0.498039216,1,0,#7FFF00
